job_title,job_company,job_location,job_summary
PHP Developer,ASK Development,Lahore,"Integration of multiple data sources and databases into one system.Integration of data storage solutions like MySQL, AWS RDS, etc."
Web Developer,Avanceon MEA,Lahore,Bachelor's degree in computer science or a related field.Integrate data from various back-end web services and databases.Experience with jQuery and Bootstrap.
Data Engineer,Wego Pte Ltd,Lahore,Be part of the data validation process to maintain data quality and perform or automate data cleansing.Experience in data modeling or design for database/data…
Flutter Developer,QuidSol,Lahore,We are looking for a talented Flutter Developer who creates multi-platform apps for iOS and Android using Google's Flutter development framework.
Senior Web Developer,Adequate Solutions,Islamabad,"Bachelor's degree in computer science or related field.Understanding of algorithms, data structures, and software design fundamentals."
.NET Developer,Punch Digital Agency,Lahore,"Designing and developing data interfaces to back-end systems.Designing and developing data exports, reports, and published catalogs."
Project Manager (Preferably from Software House),Knowza Learning Solutions,Lahore,"Expertise in data center management and data governance.Ensure security of our company data, network access and backup systems."
Cloud Technical Support Specialist,Zones IT Solutions,Islamabad+1 location,"You will be the first point of contact for several types of customer engagements, providing thoughtful day-to-day comprehensive technical support to…"
Informatica Developer,Blutech Consulting Pvt. Ltd.,Islamabad,Perform data analysis for both source and target data including those on HDFS.Resolve source data issues and refine transformation rules.
WordPress Theme Developer,Adequate Solutions,Islamabad,"Bachelor's degree in computer science or related field.Understanding of algorithms, data structures, and software design fundamentals."
Data Engineer,NexDegree,Karachi,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.The Data Engineer will support our software developers, database…"
Node JS Developer,Orcalo Limited,Rawalpindi+1 location,"A bachelor's degree in information technology, computer science, or a similar field.We are looking for a Jr. Node.js developer the ideal candidate will be…"
Senior Software Development Manager,Tek Headquarters,Lahore,"Bachelor’s degree in computer science or a related field (MS in project management).The Software Development Manager oversees a team of developers who design,…"
Actuarial Analyst,Optimum HR,Lahore,"Performing mathematical and actuarial calculations to prepare data for analysis.A University degree with a major in mathematics, actuarial science, economics,…"
Full Stack Software Engineer- MERN / MEVN,Septem Systems,Lahore,"A Bachelor’s degree in computer science or a related field.Strong knowledge of design patterns, data structures, and software engineering best practices."
.Net Developer,Soft Pvt Ltd.,Lahore,Net Developers who should be able to build software using languages and technologies of the .NET framework. This is a full-time position with a market…
PHP/Laravel Developer,Shot Technologies Pvt Ltd,Karachi,"Bachelor’s degree in computer science or a similar field.You should have in-depth knowledge of object-oriented PHP programming, understanding of MVC designs,…"
Experienced Python Developer,WasiSoft Technology,Lahore,"Implement security and data protection solutions.Python Developer responsibilities include writing and testing code, debugging programs and integrating…"
Full Stack Developer,Tekrowe Digital,Islamabad,"Strong knowledge of data structures, system design and algorithms.Take complete ownership of building full stack web applications alongside our product, design…"
Chief Data Scientist(Ai/ML) (Karachi based),Ascend HR,Karachi,"3+ years of experience working in data analytic teams of large projects dealing with data automation, business analytics, AI, Machine Learning, and data…"
NOC and IT Engineer,Crystallite Pakistan Pvt Ltd,Karachi,"Bachelor's degree in Software Engineering, IT, Computer Science, Telecommunications, Electrical.And Electronics or a related degree."
Power BI Associate,Algo,Lahore,Knowledge of data modeling and data mapping [Good to have].B.S. / M.S. in Computer Sciences or related field.(Azure Preferred) [Good to have].
STEM Instructor,TSE,Rawalpindi,Using learner data to constantly refine curriculum and delivery.Bachelor's degree in Computer sciences are related field.Part-time hours: 20 per week.
MERN Stack Developer / Full Stack Developer,Techify,Lahore,Building interactive data from multiple systems and Restfully abstract to the UI through a Node.js backend.Hands-on Experience and manage Node js with Express…
AI Engineer,Mobiz,Islamabad,Perform statistical analysis on big data sets.Bachelor's degree in computer sciences or engineering with demonstrated aptitude to grasp and learn new…
.NET Core Developer,Uruk IT Solution,Islamabad,Create data access layer using Entity framework.Work on the most complex problems where analysis of situations or data requires an evaluation of intangible…
Underwriting Analyst,Motive,Islamabad,"The successful candidate will work as a member of our Risk Organization and collaborate with members from our sales, data science, product management, and other…"
Mid Business Analyst,Orcalo Limited,Lahore,"How it is done within our organization* By data modeling techniques including an entity relationship diagram (ERD), data dictionary, data map, and system…"
Laravel Developer,ArainX,Lahore,"Integrate back-end data services and improve current API data services.Write clean, testable, secure, and dynamic codes based on standard web development best…"
Business Intelligence Developer,Blutech Consulting Pvt. Ltd.,Karachi,"Connecting to data sources, importing data, and transforming data for Business Intelligence.Develop procedures and scripts for data migration."
Kotlin Senior Android Developers,Expert Tech,Rawalpindi,"Deep foundation in computer science with a strong understanding of data structures, and algorithms.Design and execute user-facing features for the hospitality…"
Backend Web Developer,CodeCrab Technology (Pvt.) Ltd,Islamabad,"Work closely and collaboratively with multi-cultural and virtual teams, including software and solutions developers, GIS experts, data managers and domain…"
Android Developer,DeviceBee Technologies,Lahore,Work with outside data sources and APIs.Experience working with remote data via REST and JSON.This Android app developer will work with our team of talented…
